rank,protein,degree,degree_norm,pagerank_norm,betweenness_norm,rwr_norm,composite_score,is_seed_gene
194,TNFSF4,26,0.41667,0.29043,0.02152,0.49522,0.32726,True
195,NPAS2,25,0.4,0.74023,0.07163,0.08674,0.32675,False
196,DHODH,25,0.4,0.64118,0.08096,0.16275,0.32551,False
197,FASLG,25,0.4,0.37481,0.02597,0.42229,0.32544,True
198,PRICKLE1,14,0.21667,0.46321,0.05329,0.40938,0.3254,True
199,PPIA,25,0.4,0.5443,0.21995,0.16537,0.32516,False
200,PRDM1,25,0.4,0.32781,0.0922,0.42253,0.32467,True
201,DLD,25,0.4,0.67355,0.049,0.15072,0.32462,False
202,IRF8,25,0.4,0.29316,0.1837,0.39867,0.32422,True
203,SUPT6H,26,0.41667,0.62411,0.03278,0.19347,0.324,False
204,ESR2,25,0.4,0.42773,0.05735,0.35205,0.32301,True
205,FLT3,26,0.41667,0.3676,0.0317,0.41069,0.32286,True
206,PAF1,25,0.4,0.60375,0.04517,0.2055,0.32208,False
207,B3GALT5,19,0.3,0.46728,0.02516,0.37506,0.32149,True
208,ING3,25,0.4,0.62709,0.02642,0.1926,0.32082,False
209,ERBB3,27,0.43333,0.49645,0.05867,0.26993,0.32014,False
210,SNRPC,25,0.4,0.49288,0.0436,0.29565,0.32006,True
211,IL23R,29,0.46667,0.29458,0.04748,0.43438,0.3199,True
212,TNPO3,21,0.33333,0.47567,0.12372,0.29169,0.31953,True
213,EP300,27,0.43333,0.43737,0.13175,0.27491,0.31878,False
214,C2,21,0.33333,0.32937,0.01166,0.47656,0.31794,True
215,CSNK1A1,25,0.4,0.51218,0.19753,0.1843,0.31767,False
216,TLR9,26,0.41667,0.32325,0.02517,0.43488,0.31672,True
217,SH2B3,18,0.28333,0.36566,0.09643,0.41424,0.31647,True
218,DPP4,25,0.4,0.61587,0.10011,0.14733,0.31635,False
219,TNFRSF13C,25,0.4,0.30289,0.04308,0.44755,0.31613,True
220,PPT1,20,0.31667,0.80438,0.03354,0.05877,0.31609,False
221,ALOX5,25,0.4,0.58762,0.02146,0.21474,0.31574,False
222,TRAPPC11,19,0.3,0.51233,0.00368,0.33078,0.31521,True
223,KALRN,20,0.31667,0.4348,0.0676,0.35261,0.31487,True
224,PSAP,24,0.38333,0.60889,0.15399,0.12333,0.31413,False
225,DNAJC24,11,0.16667,0.43117,0.01794,0.44623,0.31412,True
226,WDHD1,25,0.4,0.69878,0.05228,0.0954,0.31348,False
227,SNX3,19,0.3,0.75848,0.02931,0.09919,0.31312,False
228,HLA-DRB1,26,0.41667,0.59566,0.04965,0.17686,0.31303,False
229,CCR1,28,0.45,0.37708,0.00873,0.37255,0.31276,True
230,PHGDH,25,0.4,0.57657,0.20714,0.10674,0.31176,False
231,WRAP53,25,0.4,0.58665,0.10324,0.15591,0.31121,False
232,C5,25,0.4,0.48006,0.07588,0.2623,0.311,False
233,SLC6A3,25,0.4,0.57167,0.11553,0.16079,0.31088,False
234,PDCD5,25,0.4,0.41472,0.13335,0.28476,0.31075,True
235,BTK,28,0.45,0.41282,0.07287,0.29789,0.31018,False
236,KCNA1,26,0.41667,0.42488,0.08677,0.29179,0.30945,True
237,NFKB1,31,0.5,0.43062,0.03684,0.27949,0.30937,False
238,IL13,34,0.55,0.35934,0.05324,0.30876,0.30902,False
239,FHIT,12,0.18333,0.31702,0.06884,0.48912,0.30757,True
240,SCD,25,0.4,0.61108,0.05137,0.15372,0.3074,False
241,ETS1,25,0.4,0.36319,0.04006,0.37237,0.3073,True
242,LAMTOR3,25,0.4,0.6795,0.04968,0.09425,0.30677,False
243,MSRA,10,0.15,0.38848,0.04767,0.44953,0.30591,True
244,CLTC,28,0.45,0.55505,0.0965,0.14997,0.30581,False
245,EOMES,27,0.43333,0.46796,0.08332,0.23871,0.3056,False
246,MCM10,25,0.4,0.66974,0.03732,0.10479,0.30506,False
247,SF3B1,28,0.45,0.6041,0.03887,0.13832,0.30492,False
248,SCARB1,26,0.41667,0.50504,0.10814,0.19684,0.30453,False
249,PTPN1,25,0.4,0.44185,0.15303,0.232,0.30436,False
250,ATP1A1,25,0.4,0.65293,0.06256,0.10275,0.30435,False
251,CCL2,32,0.51667,0.43156,0.05185,0.2478,0.30407,False
252,CD83,25,0.4,0.31412,0.03741,0.40671,0.30406,True
253,FSCN1,22,0.35,0.49395,0.13964,0.2149,0.30383,False
254,IL2RG,25,0.4,0.27571,0.00383,0.45645,0.30324,True
255,GGPS1,25,0.4,0.63761,0.05712,0.11444,0.30276,False
256,MSX2,14,0.21667,0.40006,0.0877,0.37571,0.30156,True
257,USP8,25,0.4,0.51193,0.06638,0.21197,0.30105,False
258,CYP24A1,23,0.36667,0.6319,0.14475,0.07717,0.30053,False
259,POSTN,25,0.4,0.52913,0.07601,0.18784,0.29968,False
260,PI4KB,29,0.46667,0.49686,0.13138,0.15142,0.29833,False
261,CIITA,25,0.4,0.52831,0.14061,0.1462,0.29779,False
262,AP3B1,25,0.4,0.54492,0.10549,0.15117,0.29749,False
263,BAK1,25,0.4,0.54133,0.07648,0.16698,0.29614,False
264,PLEC,25,0.4,0.63245,0.05288,0.09915,0.29501,False
265,TNFSF11,26,0.41667,0.46118,0.11114,0.20544,0.29499,False
266,SLC18A2,25,0.4,0.6067,0.07071,0.10659,0.29346,False
267,CCR3,26,0.41667,0.34308,0.01116,0.35901,0.29331,True
268,ITGB4,26,0.41667,0.50629,0.08609,0.17103,0.29146,False
269,CREB3L3,25,0.4,0.60221,0.05075,0.11584,0.29136,False
270,GNG4,26,0.41667,0.50217,0.07136,0.18164,0.291,False
271,CSF2,31,0.5,0.37257,0.01791,0.28671,0.2907,False
272,SNRPE,29,0.46667,0.51158,0.04891,0.16403,0.29067,False
273,IL12RB2,26,0.41667,0.25403,0.00509,0.42749,0.28935,True
274,CCL22,25,0.4,0.34096,0.0224,0.34956,0.28911,True
275,GAL,25,0.4,0.62324,0.03393,0.10097,0.2891,False
276,AXL,26,0.41667,0.3688,0.18039,0.2279,0.28898,False
277,MC2R,24,0.38333,0.63759,0.03736,0.09339,0.28894,False
278,NOS1,28,0.45,0.50342,0.10289,0.14194,0.28878,False
279,NUP205,25,0.4,0.436,0.01162,0.2728,0.2886,True
280,GUCY1A2,25,0.4,0.58034,0.04856,0.12777,0.28853,False
281,RIPK1,29,0.46667,0.38569,0.00586,0.28922,0.28811,False
282,NFATC1,26,0.41667,0.49988,0.06991,0.17553,0.28788,False
283,DLGAP1,25,0.4,0.58283,0.09708,0.09602,0.28787,False
284,STAT1,26,0.41667,0.31043,0.03548,0.35635,0.28745,False
285,IL19,25,0.4,0.28326,0.01277,0.39945,0.28734,True
286,JAZF1,18,0.28333,0.43448,0.03866,0.30441,0.28712,True
287,AARS2,25,0.4,0.66661,0.06166,0.04038,0.28645,False
288,IRF5,23,0.36667,0.24377,0.06531,0.41491,0.28641,True
